point_uid,match_id,player1,player2,set_no,game_no,point_no,elapsed_time,rally_count,p1_score,p2_score,p1_break_pt,p2_break_pt,is_tiebreak_like,pressure_score,pressure_band,point_victor
2023-wimbledon-1301_S1_G1_P1,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1,1,1,00:00:00,2,0,0,0,0,0,0.2,low,2
2023-wimbledon-1301_S1_G1_P2,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1,1,2,00:00:38,1,0,15,0,0,0,0.1,low,1
2023-wimbledon-1301_S1_G1_P3,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1,1,3,00:01:01,4,15,15,0,0,0,0.4,low,2
2023-wimbledon-1301_S1_G1_P4,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1,1,4,00:01:31,13,15,30,0,0,0,1.3,medium,1
2023-wimbledon-1301_S1_G1_P5,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1,1,5,00:02:21,1,30,30,0,0,0,0.1,low,1
2023-wimbledon-1301_S1_G1_P6,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1,1,6,00:02:50,2,40,30,0,0,0,1.2,medium,2
2023-wimbledon-1301_S1_G1_P7,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1,1,7,00:03:33,1,40,40,0,0,0,1.1,medium,1
2023-wimbledon-1301_S1_G1_P8,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1,1,8,00:04:01,6,AD,40,0,0,0,1.6,high,2
2023-wimbledon-1301_S1_G1_P9,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1,1,9,00:04:48,7,40,40,0,0,0,1.7000000000000002,high,1
2023-wimbledon-1301_S1_G1_P10,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1,1,10,00:05:32,5,AD,40,0,0,0,1.5,medium,1
2023-wimbledon-1301_S1_G2_P11,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1,2,11,00:07:05,1,0,0,0,0,0,0.1,low,2
2023-wimbledon-1301_S1_G2_P12,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1,2,12,00:07:28,4,0,15,0,0,0,0.4,low,1
2023-wimbledon-1301_S1_G2_P13,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1,2,13,00:08:06,4,15,15,0,0,0,0.4,low,1
2023-wimbledon-1301_S1_G2_P14,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1,2,14,00:08:41,3,30,15,0,0,0,0.30000000000000004,low,2
2023-wimbledon-1301_S1_G2_P15,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1,2,15,00:09:11,1,30,30,0,0,0,0.1,low,2
2023-wimbledon-1301_S1_G2_P16,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1,2,16,00:09:37,2,30,40,0,0,0,1.2,medium,1
2023-wimbledon-1301_S1_G2_P17,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1,2,17,00:10:20,1,40,40,0,0,0,1.1,medium,2
2023-wimbledon-1301_S1_G2_P18,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1,2,18,00:10:45,3,40,AD,0,0,0,1.3,medium,2
2023-wimbledon-1301_S1_G3_P19,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1,3,19,00:11:24,1,0,0,0,0,0,0.1,low,1
2023-wimbledon-1301_S1_G3_P20,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1,3,20,00:11:47,5,15,0,0,0,0,0.5,low,1
2023-wimbledon-1301_S1_G3_P21,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1,3,21,00:12:17,2,30,0,0,0,0,0.2,low,2
2023-wimbledon-1301_S1_G3_P22,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1,3,22,00:12:44,9,30,15,0,0,0,0.9,medium,1
2023-wimbledon-1301_S1_G3_P23,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1,3,23,00:13:26,1,40,15,0,0,0,1.1,medium,1
2023-wimbledon-1301_S1_G4_P24,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1,4,24,00:15:31,3,0,0,0,0,0,0.30000000000000004,low,2
2023-wimbledon-1301_S1_G4_P25,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1,4,25,00:16:15,3,0,15,0,0,0,0.30000000000000004,low,2
2023-wimbledon-1301_S1_G4_P26,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1,4,26,00:16:47,1,0,30,0,0,0,0.1,low,2
2023-wimbledon-1301_S1_G4_P27,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1,4,27,00:17:08,3,0,40,0,0,0,1.3,medium,2
