match_id,player1,player2,set_no,game_no,point_no,elapsed_time,elapsed_seconds,p1_sets,p2_sets,p1_games,p2_games,p1_score,p2_score,server,point_victor,p1_win_point,tiebreak,score_state,set_diff,games_diff,late_set,level_games,p1_serving,p1_break_pt,p2_break_pt,p1_game_point,p2_game_point,p1_set_point,p2_set_point,p1_match_point,p2_match_point,signed_break_point,signed_game_point,signed_set_point,signed_match_point,multi_break_point,p1_serve_strength_loo,p1_return_strength_loo,p2_serve_strength_loo,p2_return_strength_loo,strength_diff_general,strength_diff_serve,strength_diff_return,baseline_p1_point_win_prob,baseline_residual
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1,1,1,00:00:00,0,0,0,0,0,0,0,1,2,0,0,0-0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6868008948545862,0.394,0.65,0.35,0.08080089485458619,0.03680089485458615,0.04400000000000004,0.690868142086366,-0.690868142086366
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1,1,2,00:00:38,38,0,0,0,0,0,15,1,1,1,0,0-15,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6868008948545862,0.394,0.65,0.35,0.08080089485458619,0.03680089485458615,0.04400000000000004,0.665222684163913,0.33477731583608705
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1,1,3,00:01:01,61,0,0,0,0,15,15,1,2,0,0,15-15,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6868008948545862,0.394,0.65,0.35,0.08080089485458619,0.03680089485458615,0.04400000000000004,0.6943378638500368,-0.6943378638500368
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1,1,4,00:01:31,91,0,0,0,0,15,30,1,1,1,0,15-30,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6868008948545862,0.394,0.65,0.35,0.08080089485458619,0.03680089485458615,0.04400000000000004,0.6670723827827149,0.33292761721728514
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1,1,5,00:02:21,141,0,0,0,0,30,30,1,1,1,0,30-30,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6868008948545862,0.394,0.65,0.35,0.08080089485458619,0.03680089485458615,0.04400000000000004,0.6768790806986137,0.3231209193013863
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1,1,6,00:02:50,170,0,0,0,0,40,30,1,2,0,0,40-30,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0.6868008948545862,0.394,0.65,0.35,0.08080089485458619,0.03680089485458615,0.04400000000000004,0.6799649897326605,-0.6799649897326605
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1,1,7,00:03:33,213,0,0,0,0,40,40,1,1,1,0,deuce,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6868008948545862,0.394,0.65,0.35,0.08080089485458619,0.03680089485458615,0.04400000000000004,0.6836407923187845,0.3163592076812155
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1,1,8,00:04:01,241,0,0,0,0,AD,40,1,2,0,0,ad-in,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0.6868008948545862,0.394,0.65,0.35,0.08080089485458619,0.03680089485458615,0.04400000000000004,0.6700009544293428,-0.6700009544293428
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1,1,9,00:04:48,288,0,0,0,0,40,40,1,1,1,0,deuce,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6868008948545862,0.394,0.65,0.35,0.08080089485458619,0.03680089485458615,0.04400000000000004,0.6835395534475621,0.3164604465524379
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1,1,10,00:05:32,332,0,0,0,0,AD,40,1,1,1,0,ad-in,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0.6868008948545862,0.394,0.65,0.35,0.08080089485458619,0.03680089485458615,0.04400000000000004,0.6698753769745375,0.3301246230254625
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1,2,11,00:07:05,425,0,0,1,0,0,0,2,2,0,0,0-0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6868008948545862,0.394,0.65,0.35,0.08080089485458619,0.03680089485458615,0.04400000000000004,0.3415768214544145,-0.3415768214544145
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1,2,12,00:07:28,448,0,0,1,0,0,15,2,1,1,0,0-15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6868008948545862,0.394,0.65,0.35,0.08080089485458619,0.03680089485458615,0.04400000000000004,0.3156778744628069,0.6843221255371932
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1,2,13,00:08:06,486,0,0,1,0,15,15,2,1,1,0,15-15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6868008948545862,0.394,0.65,0.35,0.08080089485458619,0.03680089485458615,0.04400000000000004,0.34525151170383495,0.654748488296165
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1,2,14,00:08:41,521,0,0,1,0,30,15,2,2,0,0,30-15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6868008948545862,0.394,0.65,0.35,0.08080089485458619,0.03680089485458615,0.04400000000000004,0.30210668182468065,-0.30210668182468065
